V3_RECLAIM | NO_VERIFIED_EDGE | model A | policy {'p_tp_min': 0.25} | model_hash 5fc8dfc4486afbdb..
SIGNAL | MINT=3d09541e84c54c95 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.45 | P_TP_FIRST=0.256 | P_SL_FIRST=0.621 | P_TIMEOUT=0.122 | EXPECTED_NET_SOL=+0.0131 | EXPECTED_NET_LCB90=-0.0158 | PREDICTION_UNCERTAINTY=0.067 | TOP_POSITIVE_DRIVERS=pullback_trades,sell_vol_pre,pullback_slots | TOP_RISK_DRIVERS=buy_vol_pre,creator_sell_share,reclaim_slots | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.1127 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=4e62761f6ff8241c | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.40 | P_TP_FIRST=0.277 | P_SL_FIRST=0.644 | P_TIMEOUT=0.079 | EXPECTED_NET_SOL=+0.0212 | EXPECTED_NET_LCB90=-0.0077 | PREDICTION_UNCERTAINTY=0.068 | TOP_POSITIVE_DRIVERS=creator_sell_share,pullback_slots,n_trades_total | TOP_RISK_DRIVERS=creator_sold_flag,pullback_duration_s,buy_vol_pre | OUTCOME=TP_FIRST (CURVE_RESOLVED_BEFORE_MIGRATION) | PNL=+0.3385 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=05a27cbcd7d6a57d | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.47 | P_TP_FIRST=0.343 | P_SL_FIRST=0.614 | P_TIMEOUT=0.043 | EXPECTED_NET_SOL=+0.0177 | EXPECTED_NET_LCB90=-0.0113 | PREDICTION_UNCERTAINTY=0.072 | TOP_POSITIVE_DRIVERS=n_trades_total,creator_sell_share,uniq_buyers | TOP_RISK_DRIVERS=creator_sold_flag,seller_inventory_decline,time_since_anchor_s | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.0803 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=21b088cc61734698 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.40 | P_TP_FIRST=0.262 | P_SL_FIRST=0.694 | P_TIMEOUT=0.043 | EXPECTED_NET_SOL=+0.0095 | EXPECTED_NET_LCB90=-0.0195 | PREDICTION_UNCERTAINTY=0.067 | TOP_POSITIVE_DRIVERS=buy_vol_pre,pullback_duration_s,new_buyers_post | TOP_RISK_DRIVERS=pullback_slots,pullback_trades,sell_vol_pre | OUTCOME=TP_FIRST (CURVE_ONLY) | PNL=+0.2485 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=cbf184f322d4b5fb | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.60 | P_TP_FIRST=0.259 | P_SL_FIRST=0.664 | P_TIMEOUT=0.076 | EXPECTED_NET_SOL=+0.0057 | EXPECTED_NET_LCB90=-0.0232 | PREDICTION_UNCERTAINTY=0.067 | TOP_POSITIVE_DRIVERS=creator_sell_share,progress,headroom_025 | TOP_RISK_DRIVERS=creator_sold_flag,pullback_duration_s,rs_sol | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.2160 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=a2c1b31ebae86b43 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.68 | P_TP_FIRST=0.354 | P_SL_FIRST=0.538 | P_TIMEOUT=0.108 | EXPECTED_NET_SOL=+0.0357 | EXPECTED_NET_LCB90=-0.0003 | PREDICTION_UNCERTAINTY=0.073 | TOP_POSITIVE_DRIVERS=progress,creator_sell_share,pullback_trades | TOP_RISK_DRIVERS=dist_to_migration_sol,creator_sold_flag,rs_sol | OUTCOME=SL_FIRST (CROSS_MIGRATION) | PNL=-0.1751 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=24dbd86e0f63d3d9 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.44 | P_TP_FIRST=0.285 | P_SL_FIRST=0.651 | P_TIMEOUT=0.064 | EXPECTED_NET_SOL=+0.0009 | EXPECTED_NET_LCB90=-0.0281 | PREDICTION_UNCERTAINTY=0.069 | TOP_POSITIVE_DRIVERS=buy_vol_pre,new_buyers_post,pullback_duration_s | TOP_RISK_DRIVERS=pullback_slots,pullback_trades,sell_vol_pre | OUTCOME=TP_FIRST (CURVE_ONLY) | PNL=+0.2458 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=347296374a1bafd2 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.86 | P_TP_FIRST=0.480 | P_SL_FIRST=0.515 | P_TIMEOUT=0.005 | EXPECTED_NET_SOL=+0.0505 | EXPECTED_NET_LCB90=+0.0144 | PREDICTION_UNCERTAINTY=0.076 | TOP_POSITIVE_DRIVERS=anchor_progress,progress,headroom_025 | TOP_RISK_DRIVERS=dist_to_migration_sol,seller_inventory_decline,top1_share | OUTCOME=SL_FIRST (CROSS_MIGRATION) | PNL=-0.1024 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=d45ed99efbc70e45 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.43 | P_TP_FIRST=0.291 | P_SL_FIRST=0.673 | P_TIMEOUT=0.036 | EXPECTED_NET_SOL=+0.0147 | EXPECTED_NET_LCB90=-0.0142 | PREDICTION_UNCERTAINTY=0.069 | TOP_POSITIVE_DRIVERS=sell_vol_pre,pullback_trades,pullback_slots | TOP_RISK_DRIVERS=imbalance_window,pullback_duration_s,buy_vol_pre | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.0864 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=f7028cbbc7ef068a | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.69 | P_TP_FIRST=0.294 | P_SL_FIRST=0.631 | P_TIMEOUT=0.075 | EXPECTED_NET_SOL=+0.0511 | EXPECTED_NET_LCB90=+0.0150 | PREDICTION_UNCERTAINTY=0.069 | TOP_POSITIVE_DRIVERS=progress,creator_sell_share,headroom_025 | TOP_RISK_DRIVERS=dist_to_migration_sol,creator_sold_flag,rs_sol | OUTCOME=TP_FIRST (CROSS_MIGRATION) | PNL=+0.2453 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=460b770b3c72bf84 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.40 | P_TP_FIRST=0.295 | P_SL_FIRST=0.650 | P_TIMEOUT=0.055 | EXPECTED_NET_SOL=+0.0112 | EXPECTED_NET_LCB90=-0.0177 | PREDICTION_UNCERTAINTY=0.070 | TOP_POSITIVE_DRIVERS=pullback_trades,pullback_slots,sell_vol_pre | TOP_RISK_DRIVERS=pullback_duration_s,buy_vol_pre,buyer_retention | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.0801 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=4137baf3d8f6a75a | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.41 | P_TP_FIRST=0.298 | P_SL_FIRST=0.572 | P_TIMEOUT=0.130 | EXPECTED_NET_SOL=+0.0054 | EXPECTED_NET_LCB90=-0.0236 | PREDICTION_UNCERTAINTY=0.070 | TOP_POSITIVE_DRIVERS=sell_vol_pre,pullback_trades,pullback_slots | TOP_RISK_DRIVERS=pullback_duration_s,imbalance_window,buy_vol_pre | OUTCOME=TIMEOUT_OTHER (CURVE_ONLY) | PNL=+0.1707 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=4df38e47385f53ca | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.43 | P_TP_FIRST=0.282 | P_SL_FIRST=0.628 | P_TIMEOUT=0.090 | EXPECTED_NET_SOL=+0.0380 | EXPECTED_NET_LCB90=+0.0019 | PREDICTION_UNCERTAINTY=0.069 | TOP_POSITIVE_DRIVERS=pullback_trades,pullback_slots,sell_vol_pre | TOP_RISK_DRIVERS=pullback_duration_s,buy_vol_pre,creator_sell_share | OUTCOME=TP_FIRST (CURVE_RESOLVED_BEFORE_MIGRATION) | PNL=+0.2420 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=15a43124b08bea29 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.74 | P_TP_FIRST=0.640 | P_SL_FIRST=0.330 | P_TIMEOUT=0.031 | EXPECTED_NET_SOL=+0.0851 | EXPECTED_NET_LCB90=+0.0490 | PREDICTION_UNCERTAINTY=0.073 | TOP_POSITIVE_DRIVERS=anchor_progress,progress,top10_share | TOP_RISK_DRIVERS=dist_to_migration_sol,seller_inventory_decline,top1_share | OUTCOME=TP_FIRST (CROSS_MIGRATION) | PNL=+0.2292 | ACTION=WATCH (policy_enabled=false)
